text,label,channel
याे मुजिले २०८२| ५ | २३ २४ काे आन्दोलन अगाडि जे जस्तो सानो तिनाे भ्रष्टाचार गरे पनि २०८२|११|२१ काे चुनावमा बहुमत लिएर आए पनि भ्रष्टाचार गर्न नपाउनेभयो भनेर  एमालेको पत्तासाप हुने भयो केपी ओलिलाई कानुन नलाग्ने साेजाे जनतालाई कानुन लाग्ने देश चलाउने प्रधनमन्त्रिलाई कानुन नलाग्ने जय जेनजि नेपालकाे कानुन गरिब दुखि  र साेजाे जनतालाई जानुन छ जना नेताले नेपालकाे बजेट भ्रष्टाचार गर्न पाउन जय  <br>ग्रेटर नेपाल,negative,comment
यो  बेलुन  घण्टी  मा  आय  बाट  मलाई  rsp  मा पर्दैन,negative,comment
"🇳🇵🙏Genz आन्दोलन र सुनसरी घटना एउटै हो भन्ने ,एउटै देख्नेको चै मानसिक स्थीतीको check गराए हुन्छ।",negative,comment
Missing Sumana Shrestha. she was the one of the TOP Sansads.,positive,comment
Pray For Peace.... गृहमन्त्री ले नैतिकता देखाएर राजीनामा दिएर परिपक्व मनिष झा हरु जस्ता परिपक्व गृहमन्त्री बनाउ   ।,positive,comment
"20 जना uml ले सदन मा के गर्ने रैछन 😅
😂",negative,comment
"Question answer be like
म गर्छु आग्रा कुरा, सम्धी गर्छ गाग्रा कुरा😂",negative,comment
"प्यारा नेपाली दाजुभाइ तथा दिदीबहिनीहरू,

चार दशकभन्दा बढी समयदेखि हामीले एउटै अनुहार, एउटै भाषण र एउटै वाचा सुन्दै आएका छौँ। UML/केपी ओली, कांग्रेसका पुराना नेताहरू, र CPN (माओवादी)/प्रचण्ड वरिपरिका पात्रहरू—सबैले सत्तामा बसेर देशलाई आशा होइन, थकान मात्र दिए। भ्रष्टाचारका कथा, शक्ति दुरुपयोग, र जवाफदेहिताबाट भाग्ने संस्कार हामीले आफ्नै आँखाले देख्यौँ। आज उनीहरू नै नयाँ जस्तो मुखौटा लगाएर, भाषा फेरिएजस्तो देखाएर, RSP, रवि लामिछाने र बालेन साहमाथि निरन्तर आक्रमण गरिरहेका छन्—किनकि जनताले विकल्प देख्न थालेका छन्।

रवि लामिछानेमाथि भएको व्यवहारलाई धेरैले राजनीतिक प्रतिशोध जस्तो देखे—भ्रष्टाचारका प्रश्नहरूबाट ध्यान हटाउने प्रयासजस्तो। अनि बालेन साह? उहाँले काठमाडौँलाई काम गरेर देखाउनुभयो—नारा होइन, नतिजा। फोहोर व्यवस्थापनदेखि सार्वजनिक स्थानको अनुशासन, पारदर्शिता र साहसिक निर्णयसम्म—काठमाडौँ आज विकासको मोडल बन्न थालेको छ। यही कामले डराएको पुरानो शक्ति अहिले आलोचनामा जुटेको छ।

अब भ्रममा नपर्नुहोस्। पुराना पार्टीका पुराना अनुहारहरूले फेरि मौका पाए भने परिणाम पनि पुरानै हुनेछ। यो चुनाव भावनाको होइन, भविष्यको हो। डर होइन, आशाको हो। गाली होइन, कामको हो।

आउनुहोस्, भ्रष्टाचारको चक्र तोडौँ। नयाँ सोच, नयाँ नेतृत्व र जवाफदेही राजनीतिलाई अवसर दिऔँ। RSP, रवि लामिछाने र बालेन साहजस्ता काम गरेर देखाउने नेतृत्वलाई साथ दिऔँ—हाम्रो भोलि सुरक्षित, स्वाभिमानी र समृद्ध बनाउन|",positive,comment
Sir  तपाइँको लागि यो केहि छौन।‌ सर ❤,positive,comment
"Goosebumps!!  आशाको किरण । Let us together make this beautiful country a dream nation, a civilised nation!!",positive,comment
"Imandar,,Satya nai Harka ji ko sakti,,,❤❤❤",positive,comment
jati duman tate agadi❤❤,positive,comment
Zen z आन्दोलन क्यू हुआ ? किसने मारा ? जनताको सब पता है । बलेन शाहने ठीक किया  है ।,positive,comment
नेपाल को संसद भवन भनेको दुखेसो पोख्ने ठाउँ र लुटेर खाने को आश्रम हो,negative,comment
सेरे ओली भन्दा तिमी हजार हुना खत्तम किन की उनीहरू सङ्ग ठुला ठुला पाटी छन तिमी एक्लै भै सकेउ तिमी एक्लिएको कल्ले बुझिदिने बजे !,negative,comment
नेपालको सुनौलो भबिस्य लागि असागरियका दुई खम्बा !! i am so proud both of u ❤❤,positive,comment
""" Arise youngsters-d youth of our paradise
Upon thy shoulder d bounden duty lies
The nation's a shambles n all hell breaks loose
Thy presence is a must to settle d ongoing disputes.""
Hats off to Rabi L for your indomitable guts n patriotic fervor -U're truly a protagonist of change.",positive,comment
muji hatyara hos mahesh bansnet jasta balatkari ko snangarchays ho pu lic  m aayer delha randi ko baan,negative,comment
"Searching Balen, When he is lost in प्रतिनिधि सभा 😂",negative,comment
Yes he is legend we like his vision let's grab this opportunity we support balan shah vote for him,positive,comment
"पाको बुढाको उधारो बाचाले उधारै भयो।अब युवा पुस्ताको बाचा हेर्ने हो,साच्चिकै हामी काठमाडौंमा बिकास र सुन्दर काठमाडौं हेर्नू छ,भने बालेन शाहको भिजन उत्तम छ, vote for Balen shah",positive,comment
Wow दामी ❤❤❤👏👏👏congratulations ❤❤👏🎈🎈🎈🎈🎈,positive,comment
parchand RSP ko sadyantra inquri hunu parxa.,negative,comment
३६ बर्षमा पहिलो पटक उच्च नेता बाट यति मिठो speech सुन्न पाईयो आहा ।।,positive,comment
Yo msg kahile marxa 🤔,negative,comment
रविका झाेले  जस्ताे बाेलेर के<br>सेाधे काे येा धमाला ले,negative,comment
"यदि नेपाल नभएको भए वा इस्लाम भएको त मुहम्मद ओली हुन्थेस, तलाई कोरा हानेर, वा घाँटी काटेर मारिएको हुन्थ्यो (हलाल)। झापामा त ले आफ्नो जग्गाधनी र ती ७८ जना बच्चाहरूलाई कसरी हत्या गरेको थिस? नेपालमा कुनै पनि ब्राह्मण मारिएन त्यसैले त बचाइएको छ र कुकुर जस्तै हिँडिरहेको छस? <br>पृथ्वीपथले यो देश बचाए, बचत गरियो आफ्नो पुर्खाको बाटो, पहिचानलाई माया गर्ने मानिसहरू बचाइएको छ,? विदेशीहरू, विदेशीहरूको कठपुतलीहरू, ईसाईहरू, मुस्लिमहरू, वामपन्थी/कम्युनिस्ट जे सुकै झुटा घृणा प्रचार, अफवाहहरू, घृणा कीर्तिपुरेको नाक काट्ने, राई, लिम्बूको हत्या गर्ने, हुम्ला, जुम्लाका महिलाहरूलाई बेच्ने, पर्वतका रानीहरू, २२,२४ राज्यहरू हराएका राजा रानीहरू ,छोरीहरूलाई बलात्कार गर्ने, सबै नक्कली घृणा हुन्, घृणा दासहरू जे सुकै भनून्, फस्टाउन, फहेलाउन उनी किराँत, गोपाल, लिच्छवि, खस, मैथिली युग पछिको आधुनिक नेपाल एकीकरणकर्ता हो? यो उत्तम हो किनभने यो पहिलो आधुनिक इतिहासको मानवीय सिद्धान्त हो, युरोपले पनि त्यो उत्कृष्ट सिद्धान्त विकास गरेको थिएन?<br><br>किन सबैले एकै समयमा लुकाउँछन्, नेपालको दक्षिण, उत्तर-पूर्व, दक्षिण-पश्चिम बौद्ध, हिन्दू, प्रकृतिपूजकहरूलाई के भइरहेको थियो, मुस्लिम, बेलायती, युरोपेलीहरूले आसम, नागाल्याण्ड, कलकत्ता, बिहार, मुम्बई, हैदराबाद, महाराष्ट्र, पञ्जाब, कश्मीर, लाहोर, अफगानिस्तान, तिब्बत, चिनियाँ प्रान्तमा चिनियाँ साम्राज्यहरूले के गरिरहेका थिए सबै लुकाउँछन्, युरोप, अमेरिका, अष्ट्रेलिया भित्र पनि के भइरहेको थियो? शत्रुको गतिविधि कसरी सुक्षमा हिसाब देख्छ र नेपाल र नेपालीलाई एकताबद्ध गर्ने आवश्यकतालाई,महत्वहीनता कसरी कार्यान्वयन गर्छ नेपाली जनताको लोप हुने समय कहिले हुनेछ,तब उनीहरूले बुझ्न सक्छन्?",negative,comment
मानव मारेर जनतन तर्सायर सत्तामै बसिरहन सकिन्छ भन्ने निचसाेच भयका पात्र वली 🇳🇵,negative,comment
Prime minister of Nepal 🫂❤❤,positive,comment
यहि आतंककारी काे हात हुन सक्छ । सत्तामा भाेक लागेकाे छ !!यिनी केपि र प्रचण्ड यसमेनलाई😡😡🇳🇵,negative,comment
"प्रिय काठमाडौं बासीहरु अब त आँखा खोल्नुहोस्। ५ वर्ष अगाडि विद्या पासा लाई भोट दिएर जुन गल्ति गर्नुभयो अब त्यो गल्ति नदोहोयार्नु होला बिन्ती छ🙏🙏 काठमाडौं का सबै युवाहरु लाई आग्रह , तपाईंले आफ्नो परिवार को सबै भोट बालेन् शाह लाई ल्याउने अठोट गर्नुहोस्। नबुझेका बा आमा हजुरबा आमालाई बुझाउने जिम्मा तपाईंको। मासु भात जुन पार्टी को खाए पनि भोट चाई बालेन शाह लाई नै है त।
५ वर्ष पछि बल्ल यस्तो मौका आएको छ ,यो मौका नगुमाउनु होला बिन्ती छ।
#voteforbalen
#balenformayor",positive,comment
Damalajiko parsnako jawap Kai mukma aaudaina budyskalma jyljanu parxavanyr honi jyl lagaunu ra jylbasnu parakxa dhxa kukurlai aani jawip didaina,negative,comment
Jay mato Jay harka sir,positive,comment
Kp oli budo vayo yesko dimag khuskiyo kidni ferne bela vayo,negative,comment
the whole wotld will get fascinated by his story if a dochmentary is made upon him..,positive,comment
Vasan matra garera chaldena😊😅,negative,comment
"हाम्रो देश मा परिवर्तनकाे घण्टी बजिसक्यो.. अब परिवर्तन हाम्रै पाला मा सम्भव: छ ।🇳🇵🇳🇵🇳🇵 #RastriyaSwatantraParty 
जसरी Harka Sampang लाई धरान को जनता ले सत्ता मा पुराए.. अब RABI LAMICHHANE अर्थात ( राष्ट्रिय स्वतन्त्र पार्टी ) लाई पनि जनता ले  राष्ट्र को सत्ता मा पुर्याउँछन् भन्ने ठूलो आशा छ ❤️❤️❤️🔔🔔🔔🙏",positive,comment
अत्यन्तै intresting  रसिलाे प्रस्तुति👌👌,positive,comment
एउता बुधी लाई ब्याउनी बनाउन नसक्नी ले देश बनाउन सक्छ,negative,comment
"Debate गर्न सक्ने , तर्कहरु दिन सक्ने त ह्याउ पनि हुनु पर्यो नि , धोक्रो सुकाइ सुकाइ पाएको भोट एउटा अन्तर्वार्ताले सोत्तर पार्छ भन्ने थाह भएरै भागि रहेको हो |",negative,comment
सहि हो प्रचण्ड जिन्दबाद हो।,positive,comment
यदि नेपाल मा  राम्रो सरकार  आउने हो भने  यी बरिस्ठ  ज्यु ले जेल मा जानू पर्ने हुन्छ,negative,comment
kati hasnu,negative,comment
17000 वाला,negative,comment
"राजेन्द्र बनियाँ सर, अब श्रम संस्कृति पार्टीकी पिन्सा राईलाई पनि अन्तर्वार्तामा आमन्त्रण गर्नुपर्छ।",positive,comment
Unpaad ko udharan,negative,comment
कुन गुन्डा नाइके हो सला झोले लाई झुण्डाउनु पर्छ l जय बालेन शाह🐅 जय घन्टी🔔🔔🔔💪💪💪🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,positive,comment
"धरान नेपाल को अरु ठाउ भन्दा बेग्लै पहिचान छ। धरनेहरु चेतनामा आर्थिक मा र शिक्षा मा अगाडि छ्न। साचै नै धरान राम्रो मेयर पायको छ। अब त जनता जागौ देश को मुहार फेरौ। गालि गलौच गर्ने राज्नितिलाइ माथि नराखौ आवज बोल्ने बोक्ने समस्य पहिचान समधान गर्ने र vision भयको र vision अनुसार अघि बड्न सक्ने लाइ मात्र साथ दिउ।
मेरो देश नेपालको सधा जय होस।",positive,comment
नेपाल ले कानेर भारत को जमिन मिचेको छ माननीय पर्धान मान्त्री जिउ ले भने जस्तो देखाउनु परो,negative,comment
Jaya balen superb be strong 💪💪,positive,comment
हामिले धेरै सोचाइको कुरा आम्दोल्न बदी छ हजुरको interview आउँछ म सधैं हेर्छु सब view plan हजुरको नि intrevew अनुसार negagative देख्छु,negative,comment
केपी बा I love yo धेरै राम्रो लाग्यो यो अन्तरवार्ता,positive,comment
जय बालेन जिदबाद रबि 🎉🎉🎉❤❤❤,positive,comment
Congratulations 👏👏 and Best of luck PM Balen Daju and Rabi Daju and sabai RSP family haru jay Bir gorkhali haru jay ghanti ❤❤❤❤,positive,comment
जय रवि शर❤❤❤❤,positive,comment
यो मान्छे मलाई सार्है मनपर्छ,positive,comment
very intresting lagyo programme...,positive,comment
अब समाएर जकाउछ भनेर चिल्लो घस्दै छ छेपारो ले,negative,comment
"सबै प्राया हर्क साम्पाङ्गलाइ जाती बादी र पास्टरको उपनाम दिन्छन। तर बास्ताबमै नेता भनेको उस्को मन, बिचार , निष्ठा छर्ल्ङ्ग भएको नेता भनेको त्यो हर्क साम्पाङ्गमा हो।❤",positive,comment
Prachandale yesto mitho bolnuma pni kehi sadyantra hunasakx bhanne malai matrai laagne hoki arulai pni hola?????,negative,comment
कतिको हिम्मत छ हेरु एकलै लद्छ कि गठ बन्धन  मा जान्छ आगोमा सलाइ कोर्ने  आफै,negative,comment
Yasle Aafaile racheko षडयंत्र ho tes karan yallai sabai kura thaha xa balen sarkar yallai jailkochnu sabai thik hunxa,negative,comment
यिनिहरु कोहि गतिला छैन सबै mcc  र नागरिक्ता बिधेक को मतियारहरु हुन ।,negative,comment
बालेन जी को सोच अनुसार होस् भगवान् म प्रार्थना गर्छु । सबै युवाको सोच बालेन को जस्तो होस्  र हुनुपर्छ । धेरै आशिर्वाद छ बालेन बाबू ।,positive,comment
"RSP को पनि धागो बाहिर नै रहेछ???नत्र राजा ल्याउनुपर्ने, सिमा मिचेको सच्याउन पर्ने ।कतै नेपाली झुक्याउँदै त छैनन्???",negative,comment
Natak ta khatara Garxa yo jyas le sala hatyara,negative,comment
"""हामीहरूले यो यो  काम गर्छौ होइन कि 
हामीहरू यसरी यसरी यो काम गर्छौ ""- बलेन 😊❤",positive,comment
सहि हो ।कम्रेट प्रचण्ड  देशको एक महान लिडर र मेरुदण्ड हुनुहुन्छ। यदि उहाँ हुनुहुने थिएन  भने अझै सम्म दलितहरुलाई दुव्र्यवहार भहिरहेको हुने थियो।जय देश जय प्रचण्ड पथ 🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive,comment
भरस्टचारि चुपलाग,negative,comment
Ani Facebook kun सरकारले हटाउन lako,negative,comment
मेयर हर्क सर को हरेक शब्दमा सत्य छ अनि motivation speech लाग्छ..,positive,comment
याे जाेडि लाई कसैकाे नजर न लागाेस🎉🎉🎉🎉🎉🎉🎉,positive,comment
"कोइछ माइकललाल???
कुन नेताको हिम्मत छ mainstream को सम्पूर्ण मीडिया: कान्तिपुर, अन्नपुर्ण, नया पत्रिका, online khabar, सेतोपाटी लगायत....राजाबादी, रबिन्द्र मिश्र, ऋषि धमला माथिको तितोसत्यकुरा खुलेआम प्रमाण सहित ओकाल्ने हिम्मत, चाहे आक्रोशमानै सहि??? यसको मतलब उनलाई केहि कुराको लोभ छैन, कोहीसंग setting गर्नुछैन भन्ने प्रस्टहुञ्छ! 

पार्टीको तलुवा चाट्नेहरु नआवो अब अनेक भन्दै.... रबिले गृहमन्त्रि भएर नियम कानुनमा देश चलाउदा, सिस्टम बसाल्दा,तिमीहरुलेनी केहि सुख पाउथेउ,
खाऊ अब तेही.....

देशले पाएको सच्चा नेता, सच्चा योद्धा..... Salute रबि लामिछाने",positive,comment
jng lai xodeuna ta ye buda kina lov?? aat  xa??,negative,comment
"Hindu rastra kayam garera kota system hataunus sir
Nepal Hindu ko ho 
Jastai Pakistan ma Islam, bahek kei chhaina
Saudi ma ,Qatar ma Ra Aru Islam country ko rule thaha nai chha ra usa, paschim muluk haru ko pani aafnai Christian religion chha
Sabai le aa-aafno desh ma aafno paramparalai herchhan
Tara Nepal India jasto muluk le loktantra lyaera ra kota system ra sa sabai dharma Lai Saman byawahar garekole ra dharma pariwartan garaune ishai ra Islam ka agent haru Lai khula chhut dieko le hamro desh barbad hudaichha
Raja ko Pala Christmas ra IED bakrid haru ma sarkari chhutti didaina thiyo Tara pani manaerq basekai thie 
Tara netq haru le ra maowadi le aafno vote bank ko lagi hamro desh Nepal Lai ^sajha rastra"" banaera hak dilaera Bolna Lai jun bato banaidie tyo Swarthi sarkari le Garda ho
Malai yaad chha 2060 ma Mero slc ko barsa ma IEd ma chhutti hudaina thiyo Tara ahile Bada maharaja Dhiraj prithvi Narayan Shahdev le banaeko Nepal ma chhut diera yasti sthiti srijana vaeko ho",negative,comment
😢😢😢aasu aayo,negative,comment
बिपि को बिचार बिपि सगै मरेर गयो !,negative,comment
Hats off gagan❤❤,positive,comment
"wow .एस्तो पो उम्मेदवार 
कति सालिनता छ ; न कुनै आक्रोश , न उत्तेजना ,न कसैप्रती कटाक्ष ,गालिगलोज ,टुक्का उखान ।
बिकल्पका खाका,समस्याका कारण अनि स्रोतको स्पस्ट व्याख्या सहित ।
काठमाडौ बासिले यिनलाइ मत दिन आनाकानी गरे भने आत्मघाती सरह हो ।
एसपाली यिनलाइ जिताउनुपर्छ",positive,comment
Gagan uba futre star pm,positive,comment
गनगन काजी को के छ 😂 यता mutton पाक्दै छ 😂😅,negative,comment
00:08 23 ra 24 ma niriha timaru lai jantale chahera oey jyaan mara .. janta bhaneko maalik ho .. timaru nokarharulai jawaf dina jaruri chaina .. dherr sodhis tamarule bhane feri laat khachau timaru sabaile ..,negative,comment
I love you harka sampang 🇳🇵💪,positive,comment
"T O B को जकेट लगाएर हाम्रा  सान बालबालिकालाई  विद्यालयको पोसाकमा 
निसेधित क्षेत्रमा होमेर अबोध  बालबालिकालाई मराउने सुजन  गुरुङ जस्तो पात्रलाई  भाबुक  दयालु भन्नू हास्यास्पद  होइन र !?????????",negative,comment
Balen sanga bahas garna ramrari padheko hunu parcha <br>Aaukat chaina kp muji ko,negative,comment
कति सम्म को मन हो यति हुदानी छुपुक्क घरमा बसे हुन्छ त 7 पुस्तालाइ खाने सम्मति जम्म भैसक्यो होला तिमि बाट हुदैन भने,negative,comment
"Maobadi ko nam ma luteo ,ab male ko Nam bat lutnu paro ni Janta sabai bheda , election ma per vote 1000 Rupees and masu Bhat ma bikne.butro desh banla..?",negative,comment
Great sir❤,positive,comment
Sit purai khali x kaha janu vyoo aru mananya jiu haru,negative,comment
100% agreed 🎉❤😂,positive,comment
"केपी सँग वहस गर्न हर्क, गगन, प्रचण्ड र कुलमानहरू तयार भए भैहाल्यो ।<br><br>गफाडीहरूको debate मा देश हाक्ने राजनेता सुहाँउदैन ।",negative,comment
अब 5बर्ष को ढुक्क हुनेवाला हाम्रो  प्रधानमन्त्री king ❤❤,positive,comment
मेरो आसा भरोसा दुबै दाजु हरु,positive,comment
"खेत रोप्ने दिन सम्म पनि
मल पाईएको छैन  !
मल चाहिएको छ 150 kg
मल दिन्छन  50 kg त्यति 
ल्याएर के गर्नु यस्तो छ देशको
स्थिती यसरी किसानलाई 
सारै मार परेको छ मल 
नपाइएर खेती गर्न पनि 
गाह्रो  छ ! यसको लागि 
सरकारको बिशेष  ध्यान
जावस अबका दिन हरुमा 🙏",negative,comment
इङ्लिस लेङ्ग्येज पढादा पढाउदै अहिले को उस्को बुडि लाई पेट बोकाको हो अनि जेठी बुडिले छोडेको हो अलि राम्रो जानकारी लिएर मात्र बोल्नु होला,negative,comment
केही काम छैन यस्तो संसद्,negative,comment
सहि भन्नु भयो गगन जी 👍👍👍👍🙏🌹🌸🌼🌸🌹🌹🙏🙏🙏,positive,comment
This is so inspirational. 👏👏🇳🇵🇳🇵,positive,comment
Yakdam ramro socha bichar x hjr ko yo hjr ko socha bichar ma hare nepali daju bhaini le sath dinuhunx rabi dai good job dai🙏🙏🙏👏👏👏👏👏🤝🤝🤝,positive,comment
फेरि ढल्नी भो हर्के डाहा ले 😂😂😂जय🛎️🛎️🛎️✅✅,positive,comment
yasta हारू ले बोलने मौक़ा दिनू hunna । आफाई ले घटना सिरजाना गरेर आफई ले जवाफ magne,negative,comment
पहिलो कुरो मिडिया झोले छ दोस्रो <br>हेया म मेरो आमा को कसम खएर भन्छु<br>इनि हरु हामिलाइ पागल बनाउदै छ 😡😡,negative,comment
"Proud of you sudan sir
Gurung ko taqat balla dekhna paiyo 2082 ko antya ma aayera🎉",positive,comment
महान नेता रबि लामिछाने त्यागी अनि दुरदर्शी नेता रबि लामिछाने,positive,comment
Go Sudan Go ❤,positive,comment
