text,candidate,source,channel,script
बतासे अन्डा त केपि ओलिको हो,kp oli,election_data.csv,comment,deva
Tero din gaisakyo,kp oli,election_data.csv,comment,latin
हर्क साम्पाङ जस्तो मान्छे चाहिन्छ यो देश लाई 👍💪🙏💯🙏,kp oli,election_data.csv,comment,deva
जय माटो जय देश जय हर्क साम्पाङ जिन्दाबाद 💯🙏👍💯🙏👍💪🙏,kp oli,election_data.csv,comment,deva
"राबणकाे दम्भ मान्छे काटेर आउने चाहिँ अर्जीनल अन्डा,बालेन बतासे,दुर्याेधनकाे दम्भले दुर्याेधन सकियाे,रावणकाे दम्भले रावण सकियाे,केपि आफ्नै दम्भले सकिने भयाे।",kp oli,election_data.csv,comment,deva
आफै बतासे भएको थाहा छैन😂😂😂😂,kp oli,election_data.csv,comment,deva
budo vayrw ni dimaakh kohile aahunxa hola yo budo ko,kp oli,election_data.csv,comment,latin
Kp oli lai bharast chari garnu matrai jane xa,kp oli,election_data.csv,comment,latin
Ta ho batase tehi vayara xora xori na vayako mula k p batase anda,kp oli,election_data.csv,comment,latin
हेर  ताली  dhokeka,kp oli,election_data.csv,comment,mixed
KO Chor अण्डाको कुरा नगर तँ सुद्रे   बालेन  must pm,kp oli,election_data.csv,comment,mixed
Ukhane Bahadur paagal hattyara Khate,kp oli,election_data.csv,comment,latin
Thukk kukur laj pacheko,kp oli,election_data.csv,comment,latin
फेरि हेलिकप्टरबाट बाट भागने छुट छैन  मुजि,kp oli,election_data.csv,comment,deva
Terima Baula?,kp oli,election_data.csv,comment,latin
No vision and no plan for development.  Just talking bad for others. <br>What he is going to achieve.,kp oli,election_data.csv,comment,latin
Pataha Oli hitalar ho,kp oli,election_data.csv,comment,latin
Kp ko pachadi basya chor jasto dekhine haseko dekhda Daya lagyo 😢,kp oli,election_data.csv,comment,latin
Talai aputa kasko lagi chunap ladxas chor,kp oli,election_data.csv,comment,latin
Khanxa aspali kp le,kp oli,election_data.csv,comment,latin
Rip kpoli,kp oli,election_data.csv,comment,latin
बतासे अन्डा 😂usaiko छ छोरा छोरी  pako छिन् 😂😂😂😂aru लाई 😂😂😂😂,kp oli,election_data.csv,comment,mixed
त्तहिले गर्दा हो,kp oli,election_data.csv,comment,deva
अबकि बार यमाले पत्तासाफ,kp oli,election_data.csv,comment,deva
जय घण्टि जय बालेन जय नेपाल,kp oli,election_data.csv,comment,deva
Budho sabae hunxa thulo kura nagarnu motra,kp oli,election_data.csv,comment,latin
Jay balen,kp oli,election_data.csv,comment,latin
Rip hatiyara,kp oli,election_data.csv,comment,latin
त्यही भएर त! बाजेको चल्लै भएनछ 😂😂😂 बतासे बुढा😊,kp oli,election_data.csv,comment,deva
के गर्नु एउत गफदि,kp oli,election_data.csv,comment,deva
उखानले गोरु चोर को काम नै अरु लाई गालि गर्ने बाहेक के जानेको छ र,kp oli,election_data.csv,comment,deva
yo sudhridaina... Aba yeslai media ma block garnu paryo...yeslai dekhda nai ghin lagcha,kp oli,election_data.csv,comment,latin
त्यसो भए तिमि नै हो बतासे अण्डा नभए तिम्रो चल्ला खै काहा छ 😂😂😂😂,kp oli,election_data.csv,comment,deva
Sahi ho balen batase anda ho 😂😂😂,kp oli,election_data.csv,comment,latin
8 fail joker,kp oli,election_data.csv,comment,latin
Budo darayo jasto xa,kp oli,election_data.csv,comment,latin
Thukka radical moron !!! Tero hawa gaf chahi kole patyeuchha mula??? Please vote for 🔔 vote for Balen ❤❤,kp oli,election_data.csv,comment,latin
जेन्जीले  ल्याएको  परिवर्तन हो   त  बुढोले  बोलेर  केही हुनेछैन,kp oli,election_data.csv,comment,deva
Kam se Kam cheli beti lager France wa Europe country ma bechdain ni,kp oli,election_data.csv,comment,latin
तपाईं काे यस्तै घमण्ड ले हाम्रो एमाले सक्कियाे बा,kp oli,election_data.csv,comment,deva
Khusket katti kheddho khaneko aruko kura nakati khana pachdaina,kp oli,election_data.csv,comment,latin
केपि बा अब २०८२ देखि आरम गर्नुस जेल्मा बसेर 😂😂😂,kp oli,election_data.csv,comment,deva
Galat kament garne kukur haru,kp oli,election_data.csv,comment,latin
हत्यारा को पार्टी    मुर्दाबाद,kp oli,election_data.csv,comment,deva
आफु नि सन्तान  अरुलाई बतासे,kp oli,election_data.csv,comment,deva
"<a href=""https://www.youtube.com/watch?v=joFg8u9kbmc&amp;t=545"">9:05</a> aafu le chai k ramro garyo rw .  Afno neta party xaderw gayo vanerw herw na k vanye .. Ali ber parkheko vaye hunthiyo ne palai palo pauthiyo ni Rey .. 🤦 yesta xan desh banaune vision.. k vanu rw khai abo janta le k garxan chunab ma herum .. yo UML ko top 3 partys ma ni aayo vane tha hunxa Nepali janta sachai veda nai hunn.. ani kei hune bala xaina yo desh KO",kp oli,election_data.csv,comment,latin
केपी बालाई black power ले बहकाइ रहेको छ,kp oli,election_data.csv,comment,mixed
"Raswapa le uthayeka sahi maang awaz dabako harek bharsthachar ma ,seting ma aafai misiyeko desh ko bacha bacha lai taha <a href=""http://xa.ma/"">xa.ma</a> emale thiye aaba patasaaf parxau hami timi lai chai",kp oli,election_data.csv,comment,latin
"Ti party xodne le tero paap ko bhagidar huna bata bache, tee budhimani rahe xan ajai damnha ghamanda 40 barsha dekhi desh lootne le ajai jhuta kura gare ra janta jhukyauna khojdai xau, ani oripari basera tali pitne jiuda  lash haru sudhera bellai ma xora nati ko bhavishya banauna laaga yo aputra ho aafna nani babu haru xainan yo aparadhi le feri kanda machauxa. Okahldhunga ma sunita le pani ghanti mai vote halne hare ta.",kp oli,election_data.csv,comment,latin
KP Chor hatera bacha bachi nahune Bodo Chor,kp oli,election_data.csv,comment,latin
Corrupted politician are so good on making dramas and illusion.. Hats up,kp oli,election_data.csv,comment,latin
2/3जना हेरन बुढा जनता सबै घन्टि बझाउने भइसके।,kp oli,election_data.csv,comment,deva
Oli le anda Parera bijok xa,kp oli,election_data.csv,comment,latin
Hatyara party jungle vagnumatrai Baki xa.,kp oli,election_data.csv,comment,latin
"अपुतलिले नेपाली जनतालाई टुक्का सुनाएर मख्ख पार्ने दिन गईसक्याे ,भ्रष्टाचार फाईल खुल्छ रासपाकाे सरकार बनेपछि भन्ने नेपालिल  जनतालाई अहिले लागेकाे छ 🇳🇵🇳🇵🇳🇵🇳🇵🔔🔔🔔",kp oli,election_data.csv,comment,deva
Oli tanashai ho but yi jholeharu haseko talibajako dekhda achamma lagxa,kp oli,election_data.csv,comment,latin
"Kina Daraunu bhako baa, Cunab dekhi....k bhayo k...",kp oli,election_data.csv,comment,latin
"Currupted gas pipe, rail and view tower useless",kp oli,election_data.csv,comment,latin
Darpok harxu vanera,kp oli,election_data.csv,comment,latin
Sala hatyara ta mareko din nepali janta chain nindra le sutxa.,kp oli,election_data.csv,comment,latin
Ta jasta tukele desh banaudaine,kp oli,election_data.csv,comment,latin
Jay balen jay ghanti,kp oli,election_data.csv,comment,latin
Ya  shing vhacniyako goru ta sakkal n dhekha kukur hatyara,kp oli,election_data.csv,comment,latin
Jai ghanti,kp oli,election_data.csv,comment,latin
JAY balen jay ravi Jay ghanti jay Nepal jay rasopa Vote for ghanti 🔔🔔🔔🔔🔔🔔🔔🔔❤️❤️❤️❤️❤️❤️❤️,kp oli,election_data.csv,comment,latin
Yo kaput le nepal lai barbaad banayo gorkhali ko apamaan garayo thukka machikne kp oli Randi ko xora,kp oli,election_data.csv,comment,latin
Yo kasto creation ho,kp oli,election_data.csv,comment,latin
Yo Kabila morchha,kp oli,election_data.csv,comment,latin
Ta jasto li tw kukurla Pani xodnu prxa,kp oli,election_data.csv,comment,latin
kati hasnu,kp oli,election_data.csv,comment,latin
Goli haia rubber ko goli tero bau le chapayo ki tero kisney ferne bela bechis.xori maxeko ko kidey rakehe dekhe dekhi naiyo xakka bahi sako,kp oli,election_data.csv,comment,latin
"This creep and corrupt KP Oli can give only oily speech, he is the most arrogant and hated political leaders of Nepal. He should be kicked in jail or hell.",kp oli,election_data.csv,comment,latin
Thukka laaj navako jhole,kp oli,election_data.csv,comment,latin
aba janta le yemale lai zero seat dinu parcha ..yesta apradhi aru pani chan hai yes party ma !!,kp oli,election_data.csv,comment,latin
Oli jasto pagal ko pani kura garne ??<br>Napal ma Pani Jahaj lychu bhanne. Ghar ma gas pipe lyuchu bhancha bahula Oli le.,kp oli,election_data.csv,comment,latin
जय घण्टि,kp oli,election_data.csv,comment,deva
"We want a forensic report episode for the blast that was done by the protestors, we’re really not interested for this sort of political stunts 🙏🙏",kp oli,election_data.csv,comment,latin
Medias.. and news personas are fourth most powerful factors of nation .... so they shouldn&#39;t be bias to one side...,kp oli,election_data.csv,comment,latin
machikney unpad khatey,kp oli,election_data.csv,comment,latin
Nautaki debate yemale kangres,kp oli,election_data.csv,comment,latin
5 mahina paxi sradanjali pani deko rey k olile,kp oli,election_data.csv,comment,latin
"नेपाली दाजुभाइ तथा दिदीबहिनीहरूमा हार्दिक अपिल (Heartfelt Appeal to Nepalese Brothers and Sisters)<br>विषय: अबको भोट देश बनाउनेलाई, अबको भोट &#39;घण्टी&#39; लाई।<br><br>आदरणीय नेपाली बुबाआमा, दाजुभाइ तथा दिदीबहिनीहरू,<br><br>आज म एउटा सचेत नागरिकको हैसियतले, मुटुमा देश दुखेको पीडा र आँखामा भविष्यको सपना बोकेर तपाईंसँग दुई शब्द राख्न चाहन्छु। हामीले वर्षौंदेखि राजनीतिलाई केवल भाषण र आश्वासनमा सीमित देख्यौं। तर आज देश एउटा यस्तो मोडमा उभिएको छ, जहाँ हाम्रो एउटा निर्णयले हाम्रा सन्ततिको भविष्य कोर्नेछ वा फेरि उही पुरानो अन्धकारमा धकेल्नेछ।<br><br>हामीले के बिर्सने? त्यो भदौ २३ को पीडा? इतिहास साक्षी छ, हामी पटक-पटक झुक्किएका छौं। पुराना दल र तिनका नेताहरूले सत्ताको लागि जे पनि गरे। भदौ २३ को त्यो कहालीलाग्दो घटना र निर्दोष जनताको पीडालाई आज सत्ताको खुड्किलो चढ्दा कसरी बिर्सन मिल्छ? हिजो जसको नेतृत्वमा जनताले आँसु र रगत बगाउनुपर्यो, आज चुनाव आउँदा तिनै नेताहरू सामाजिक सञ्जालमा भ्रम छरेर फेरि &quot;मसीहा&quot; बन्न खोज्दैछन्। केपी ओली जस्ता पुराना नेताहरूले हिजोका गल्ती स्वीकार गरेको नाटक गर्नु वा नयाँ जाल फ्याँक्नु भनेको फेरि हामीलाई फसाउनु मात्र हो। के हामी फेरि उही नियति भोग्न तयार छौं? के हामी फेरि हाम्रा दाजुभाइको रगतको अवमूल्यन हुन दिने?<br><br>होइन! अब हामी सचेत भइसक्यौं। उनीहरूले हिजो जे गरे, मौका पाए भने भोलि पनि त्यही दोहोर्याउन सक्छन्। शक्तिमा टिकिराख्न उनीहरूले जस्तै हथकण्डा पनि अपनाउन सक्छन्। त्यसैले, अब उनीहरूको गोहीको आँसु र गुलिया भाषणमा नफसौं।<br><br>बालेनले काठमाण्डौंमा बालेको आशाको दियो तपाईं-हामी सबैले देखेकै छौं, काठमाण्डौंमा बालेन शाहले कसरी काम गरेर देखाए। वर्षौंसम्म फोहर र बेथितिले गाजिएको शहरलाई एउटा व्यक्तिले इच्छाशक्ति भयो भने कसरी बदल्न सक्छ भन्ने उदाहरण उहाँले पेश गर्नुभएको छ। बालेन एक्लैले त यति गर्न सके भने, यदि रवि लामिछाने र राष्ट्रिय स्वतन्त्र पार्टी (घण्टी) ले संसदमा स्पष्ट बहुमत पाए भने देशको मुहार कति छिटो फेरिएला?<br><br>बालेनको भिजन र रविको आँट—यी दुवै एउटै सिक्काका दुई पाटा हुन्। यी नयाँ पुस्ताका नेताहरूलाई काम गर्न &quot;पावर&quot; र &quot;समय&quot; चाहिन्छ। बालेनले एक्लै लड्दा कति अवरोध सहनुपर्यो, त्यो हामीले देखेकै छौं। त्यसैले अबको संसदमा रवि लामिछानेको टिमलाई, &#39;घण्टी&#39; लाई बहुमत दिएर पठाऔं, ताकि उनीहरूले कसैको दबाबमा नपरी स्वतन्त्र रूपमा देश बनाउन सकून्।<br><br>यो अन्तिम मौका हो पुराना दलहरूले हामीलाई पटक-पटक धोका दिए। अब पनि हामीले &quot;फेरि एकपटक&quot; भन्दै उनीहरूलाई नै भोट हाल्यौं भने, देश बन्ने सपना सधैंको लागि मर्नेछ। यो चुनाव मात्र एउटा भोट खसाल्ने दिन होइन, यो असल र खराब, सत्य र भ्रम, अनि विकास र विनाश बीचको लडाइँ हो।<br><br>देश बनाउने जिम्मा अब हाम्रो काँधमा छ। आउनुहोस्, यसपालि जात, धर्म, र पुरानो झण्डा बिर्सेर, केवल देशको लागि, हाम्रा छोराछोरीको भविष्यको लागि &#39;घण्टी&#39; मा भोट हालौं। पुरानाले देश सिध्याउन लागिसके, अब नयाँलाई देश बनाउने मौका दिऔं।<br><br>सचेत बनौं, संगठित बनौं, र देश बचाऔं।",kp oli,election_data.csv,comment,mixed
"kp oili bhat khanchha ki GAJA , kinaki bolima youta pani truth chaina",kp oli,election_data.csv,comment,latin
"people in jhapa 5 be careful kp oili is the real killer of the country, don&#39;t rust him at all and vote Balen Shah . he is writing this on social media now who banned social media in the country to hide his corruption and killed the people while he was prime minister of the country",kp oli,election_data.csv,comment,latin
this one is only for election winning strategy oli trying to fake on Nepalese . please don&#39;t trust this killer and vote Balen Shah,kp oli,election_data.csv,comment,latin
यो निर्वाचन साना नानी बाबुहरुको हत्यारालाई जिताउने कि देश जलाउनेलाई जिताउने दुईमा एक ठाउँमा मतदान गर्नु छ जनताले ।<br>मान्छे मार्नु ठिक कि देश जल्नु ? दुबै गलत भए पनि मतादान गर्नैपर्छ ।,kp oli,election_data.csv,comment,mixed
गरिबि सुन्य मा झारेको रे थुक्क पाटकि बुढा।।देश रिमिट्यासन्सले  चेलिराको छ यस्ले गरिबि निर्मुल पारेको रे😢,kp oli,election_data.csv,comment,deva
Pm ko haisiyatle balbacha marirax kina jel nahaleko,kp oli,election_data.csv,comment,latin
Khulla manch ma uttar dine hoena talae khulla manch ma lagera tero xala karnu parne hatyara lai,kp oli,election_data.csv,comment,latin
Olile ramro kam gsreko natija falgun 23.24 ma paudae x,kp oli,election_data.csv,comment,latin
If Oli get one vote then the voter also has blood of the kids in their hands.<br>I fail to understand how people still supports him?,kp oli,election_data.csv,comment,latin
"जो,, चोर, उसैको ठूलो स्वर",kp oli,election_data.csv,comment,deva
Nalayak sarkar ab Des  cahena. Vot for 🔔🔔🕉️🇳🇵🫡👍👍🇳🇵🇳🇵,kp oli,election_data.csv,comment,latin
Nalayak sarkar ab Des  cahena.,kp oli,election_data.csv,comment,latin
Omg <br>Charam garibi <br>0 ma jhare ko ree omg <br>Hey buda khada hoo <br>Rest garam abo xodi deu <br>Marera lanu k xa tyatroo corruption ko paisa <br>Please guys convince your parents and grandparents <br>Please help them to get relief,kp oli,election_data.csv,comment,latin
Chunav ma Harla vanera kati janeko kati janeko thukka  narapisaach,kp oli,election_data.csv,comment,latin
Jan Mara  kp  bagera ra kina moreko ha namara ko baye . Yesta lai vote dine harue sapai Veda harue ho janta gue khai hun cha janmara ko baye,kp oli,election_data.csv,comment,latin
नरपिशाच भ्याम्पियर राक्षस नालायक थुक्क उखाने खुनखाने डाँका,kp oli,election_data.csv,comment,deva
गाेहीकाे आँसु,kp oli,election_data.csv,comment,deva
gohi ko aasu,kp oli,election_data.csv,comment,latin
यसको करङ भचनु पर्छ,kp oli,election_data.csv,comment,deva
चुनावको लागि भोट कुम्ल्याउन अहिले गोहीको आँशु झार्दैछ यो अपुताली किर्ते,kp oli,election_data.csv,comment,deva
🔔१००% जित्ने पक्का छ।जित्नु पनि परो माटोलाई पनि समर्थ छ है।,kp oli,election_data.csv,comment,deva
Yo KP Oli kahily sudhrindaina Pani mathiko ovano Vanna khojxa vot magnako lagi,kp oli,election_data.csv,comment,latin
त पर्धानमन्तिरी भए पछि कस्ले लिन्छ जिम्मेवारी 😡😡,kp oli,election_data.csv,comment,deva
"old history  halnuna hjr ko boli bhanako anandha  lagxa ❤❤❤❤❤❤❤present  ma vairako feel  huxa  <br>raja , ranaa  ko bara ma.ajaa dharai post garnuna sir ❤❤❤❤ plz ani  ❤❤",kp oli,election_data.csv,comment,latin
gagan thapa &gt;  KP Oli,kp oli,election_data.csv,comment,latin
Kp 😂😂😂😂😂,kp oli,election_data.csv,comment,latin
ओली जत्तिकै रास्वपा बालेन प्रचण्ड साझा विवेकशीलका नेताहरुकाे पनि हत्यामा हात छ । बालबालिकालाई आन्दाेलनमा लाग्न उक्साउने प्रचण्ड बालेन रास्वपा साझा विवेकशीलका नेताहरु हुन् ।,kp oli,election_data.csv,comment,deva
Thyo din vagya hoena Rey yeso mutna gako Rey. Helicopter ma jhundera basna Pani na Pali😂😂😂,kp oli,election_data.csv,comment,latin
Hatyara oli lai yespali harayera 75 jana sahid genz lai स्रद्धन्जलि हुने छ,kp oli,election_data.csv,comment,mixed
Kp Chor 😊,kp oli,election_data.csv,comment,latin
Aru k ni hoina nepali janta ra bal bacha haru lai hepeka hun.<br>Mo vageko jasto garxu .. 2/4 din ma tehi bacha haru lai lalipop dera fakai halxu veri raj garxu.. Ghamand jo rahexan 👹😠,kp oli,election_data.csv,comment,latin
"यो वलीले अस्ति भर्खर बिधान सभामा भनेका छन् &quot;एमालेलाई छोयोकि देश ठप्प  हुन्छ&quot; यही दम्भ र नियतलाई हेरेर मैले आंकलन गर्दैछु, भदौ २४ गते आफुले राजिनामा दिएर आफ्ना झोलेहरुलाई सबैतिर आगो लगाएर देश ठप्प पारेका हुन सक्छ। साम्य नभएसम्म   लुकेर बस्यो अहिले खोकेकै छ।",kp oli,election_data.csv,comment,mixed
"Kuna desh jane, airport samma jane haisiyeta pani ta hunu paryo ni, senako helicopter ma gayera dulo vitra lukethis vanne sabailai thah xa",kp oli,election_data.csv,comment,latin
"Desh chalaune kp haina  arunai thiyo, aadesh maile haina kanun palana garda vako re, sarkarko daitow, santi suraksha dina nasake kina deshko pramukh hune, yo felar patra aba aaunu hudaina, yeslai kanun anusako kada karbai hos, 19 haina 76 ko hatyara bachha haruko yo crur hatyara ho, yo gala garera jyan jogauna sutukka vagera 4-5 din gumnam vako sabailai thah xa",kp oli,election_data.csv,comment,latin
Army lai paap lagxa yesto manxe bachako ma,kp oli,election_data.csv,comment,latin
ओलि जस्तो फटहा को अब पत्याउनु देशकै ठूलो भुल हुने छ अरुलाइ खिसिटिउरी गर्ने आपराधिक सोच भएको हराम हुन ओलि,kp oli,election_data.csv,comment,deva
"<a href=""https://www.youtube.com/watch?v=fjkMTREcjCQ&amp;t=735"">12:15</a> uniharu ko Jyan bachauna Haina afno chai Jyan bachauna helicopter maa vageko ho ni. Natra sher Bahadur Le jhai Janata ko laat khanththyo.",kp oli,election_data.csv,comment,latin
"Oli hatyara nai ho ,Hatyara ho",kp oli,election_data.csv,comment,latin
चुनावी गफगाफ मा ओली,kp oli,election_data.csv,comment,deva
"<a href=""https://www.youtube.com/watch?v=fjkMTREcjCQ&amp;t=108"">1:48</a> hatya garna lagayeko ho. Natra helicopter maa vagne parne k badhyata thiyo ra?",kp oli,election_data.csv,comment,latin
के पि ओलि हार्ने दरले बल्ल घैतोमा घाम लागेछ,kp oli,election_data.csv,comment,deva
यस्तो बकम्फुसे कुरा na garnus आनन्द जी यस्ता हत्यारालाई साथ na dinus😡😡😡,kp oli,election_data.csv,comment,mixed
५ महिना पछि कुरा मिलाईयो तुरुन्त किन आएन …,kp oli,election_data.csv,comment,deva
pradip bhattrai ko status dami xa,kp oli,election_data.csv,comment,latin
Timi media kaam xaina … balen jitauna jor gara…. Tara media swatantra hunu parthiyo… desh tesai ta dubi sakeko xa,kp oli,election_data.csv,comment,latin
Aba janta lai sabaat bat mantri hai prataxya nirbachan r stir sarkar chahiyako ho,kp oli,election_data.csv,comment,latin
Yesko mukh ma thukna parxa,kp oli,election_data.csv,comment,latin
"गोलि चल्यो, बालबालिकाहरुले ज्यान गुमाए, यो कुरा सत्य हो। तर, त्यो घटनाको योजनाकार‌, अर्थात् त्यो अवस्थाको सिर्जना गर्ने बालेन, दुर्गा प्रसाई, ज्ञानेन्द्र हुन्। यिनीहरुलाई उचाल्ने भारत हो। नेपालमा‌ माक्र्सवादीले राज गरेको भारतलाई मन पर्दैन। त्यसैले, जब जब केपि ओलि प्रम बन्छ, भारतले केहि न केहि खेल खेलि हाल्छ। <br>खेल खेल्ने भारतीय हुन् भने पैसामा बिग्ने, बालेन, दुर्गा, ज्ञानेन्द्र, लगायत केहि नेपालीहरु हुन्।",kp oli,election_data.csv,comment,mixed
Yo narapisach le ma rajinama dinxu timi haru sinhadarbar jalaunu karyakarta khata ko ho yo chor bharsthachari lai jail kochnu parxa.,kp oli,election_data.csv,comment,latin
